ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 36567,13980,1616,871,1819,11.6,6.2,13.0
ZCTA5 36568,92,0,8,22,0.0,8.7,23.9
ZCTA5 36569,570,116,16,70,20.4,2.8,12.3
ZCTA5 36571,15474,1934,1079,1618,12.5,7.0,10.5
ZCTA5 36572,6159,619,359,871,10.1,5.8,14.1
ZCTA5 36574,1123,32,108,156,2.8,9.6,13.9
ZCTA5 36575,21118,2716,1277,2630,12.9,6.0,12.5
ZCTA5 36576,4198,499,378,542,11.9,9.0,12.9
ZCTA5 36578,1436,125,104,297,8.7,7.2,20.7
ZCTA5 36579,1214,129,115,103,10.6,9.5,8.5
ZCTA5 36580,5507,578,441,803,10.5,8.0,14.6
ZCTA5 36581,258,82,38,42,31.8,14.7,16.3
ZCTA5 36582,24029,3320,1711,3476,13.8,7.1,14.5
ZCTA5 36583,898,110,28,142,12.2,3.1,15.8
ZCTA5 36584,856,192,32,121,22.4,3.7,14.1
ZCTA5 36585,1242,188,79,103,15.1,6.4,8.3
ZCTA5 36587,10317,876,603,1823,8.5,5.8,17.7
ZCTA5 36590,0,0,0,0,,,
ZCTA5 36602,932,174,67,87,18.7,7.2,9.3
ZCTA5 36603,9552,1912,552,1214,20.0,5.8,12.7
ZCTA5 36604,9423,1676,678,1222,17.8,7.2,13.0
ZCTA5 36605,27372,3576,1917,3353,13.1,7.0,12.2
ZCTA5 36606,18787,3398,1039,2440,18.1,5.5,13.0
ZCTA5 36607,6398,1004,465,754,15.7,7.3,11.8
ZCTA5 36608,35336,5439,1989,4335,15.4,5.6,12.3
ZCTA5 36609,23492,3994,1364,2870,17.0,5.8,12.2
ZCTA5 36610,10728,1398,854,1094,13.0,8.0,10.2
ZCTA5 36611,5817,674,303,541,11.6,5.2,9.3
ZCTA5 36612,4626,598,289,358,12.9,6.2,7.7
ZCTA5 36613,13583,1718,950,1670,12.6,7.0,12.3
ZCTA5 36615,0,0,0,0,,,
ZCTA5 36616,8,0,0,0,0.0,0.0,0.0
ZCTA5 36617,13306,1947,886,1447,14.6,6.7,10.9
ZCTA5 36618,17143,2037,1308,2373,11.9,7.6,13.8
ZCTA5 36619,15507,1994,1051,1879,12.9,6.8,12.1
ZCTA5 36688,237,0,0,0,0.0,0.0,0.0
ZCTA5 36693,19721,2247,1198,2450,11.4,6.1,12.4
ZCTA5 36695,51804,7576,3258,6187,14.6,6.3,11.9
ZCTA5 36701,20558,2543,1468,2457,12.4,7.1,12.0
ZCTA5 36703,12927,1636,987,1546,12.7,7.6,12.0
ZCTA5 36720,963,84,39,91,8.7,4.0,9.4
ZCTA5 36722,441,82,6,6,18.6,1.4,1.4
ZCTA5 36723,371,0,20,41,0.0,5.4,11.1
ZCTA5 36726,4706,514,365,561,10.9,7.8,11.9
ZCTA5 36727,12,0,0,0,0.0,0.0,0.0
ZCTA5 36728,214,34,13,6,15.9,6.1,2.8
ZCTA5 36732,7706,876,276,847,11.4,3.6,11.0
ZCTA5 36736,1633,242,106,106,14.8,6.5,6.5
