ZCTA,TotalPopulation,Population_25to34Years,Population_55to59Years,Population_45to54Years,25to34Years (%),55to59Years (%),45to54Years (%)
ZCTA5 05039,1131,188,110,151,16.6,9.7,13.4
ZCTA5 05040,618,62,58,69,10.0,9.4,11.2
ZCTA5 05041,441,54,32,37,12.2,7.3,8.4
ZCTA5 05042,546,63,38,57,11.5,7.0,10.4
ZCTA5 05043,1086,153,103,177,14.1,9.5,16.3
ZCTA5 05045,1773,194,120,235,10.9,6.8,13.3
ZCTA5 05046,1109,143,99,94,12.9,8.9,8.5
ZCTA5 05048,2996,315,170,550,10.5,5.7,18.4
ZCTA5 05050,164,33,11,26,20.1,6.7,15.9
ZCTA5 05051,1641,224,118,214,13.7,7.2,13.0
ZCTA5 05052,238,26,27,30,10.9,11.3,12.6
ZCTA5 05053,403,20,28,90,5.0,6.9,22.3
ZCTA5 05055,3230,322,252,527,10.0,7.8,16.3
ZCTA5 05056,480,39,31,71,8.1,6.5,14.8
ZCTA5 05058,352,0,14,69,0.0,4.0,19.6
ZCTA5 05059,427,35,33,35,8.2,7.7,8.2
ZCTA5 05060,4417,238,307,718,5.4,7.0,16.3
ZCTA5 05061,1446,191,87,129,13.2,6.0,8.9
ZCTA5 05062,551,41,57,95,7.4,10.3,17.2
ZCTA5 05065,1038,94,66,146,9.1,6.4,14.1
ZCTA5 05067,181,21,30,4,11.6,16.6,2.2
ZCTA5 05068,3215,389,293,404,12.1,9.1,12.6
ZCTA5 05069,511,52,70,53,10.2,13.7,10.4
ZCTA5 05070,526,24,95,53,4.6,18.1,10.1
ZCTA5 05071,146,0,0,0,0.0,0.0,0.0
ZCTA5 05072,474,10,35,84,2.1,7.4,17.7
ZCTA5 05075,974,86,60,112,8.8,6.2,11.5
ZCTA5 05076,426,86,26,66,20.2,6.1,15.5
ZCTA5 05077,1199,153,119,209,12.8,9.9,17.4
ZCTA5 05079,686,93,62,162,13.6,9.0,23.6
ZCTA5 05081,543,50,26,82,9.2,4.8,15.1
ZCTA5 05083,309,51,31,17,16.5,10.0,5.5
ZCTA5 05084,114,0,11,29,0.0,9.6,25.4
ZCTA5 05086,728,98,85,106,13.5,11.7,14.6
ZCTA5 05089,4256,649,248,579,15.2,5.8,13.6
ZCTA5 05091,3303,330,298,396,10.0,9.0,12.0
ZCTA5 05101,4434,633,364,538,14.3,8.2,12.1
ZCTA5 05141,232,57,14,7,24.6,6.0,3.0
ZCTA5 05142,806,69,74,91,8.6,9.2,11.3
ZCTA5 05143,4335,315,554,623,7.3,12.8,14.4
ZCTA5 05146,637,26,61,76,4.1,9.6,11.9
ZCTA5 05148,975,77,169,86,7.9,17.3,8.8
ZCTA5 05149,1950,227,150,248,11.6,7.7,12.7
ZCTA5 05150,634,24,10,21,3.8,1.6,3.3
ZCTA5 05151,1539,203,126,136,13.2,8.2,8.8
ZCTA5 05152,319,3,50,70,0.9,15.7,21.9
ZCTA5 05153,523,24,130,50,4.6,24.9,9.6
ZCTA5 05154,461,43,26,91,9.3,5.6,19.7
ZCTA5 05155,850,61,65,180,7.2,7.6,21.2
ZCTA5 05156,9260,973,856,1241,10.5,9.2,13.4
ZCTA5 05158,1189,115,92,161,9.7,7.7,13.5
ZCTA5 05161,606,30,17,79,5.0,2.8,13.0
ZCTA5 05201,14084,1710,1109,1874,12.1,7.9,13.3
ZCTA5 05250,3731,352,309,564,9.4,8.3,15.1
ZCTA5 05251,1092,31,140,126,2.8,12.8,11.5
ZCTA5 05252,312,35,33,51,11.2,10.6,16.3
ZCTA5 05253,585,121,38,128,20.7,6.5,21.9
ZCTA5 05254,206,17,5,46,8.3,2.4,22.3
ZCTA5 05255,4047,269,416,482,6.6,10.3,11.9
ZCTA5 05257,2932,347,165,303,11.8,5.6,10.3
ZCTA5 05260,534,34,64,53,6.4,12.0,9.9
ZCTA5 05261,2491,174,199,306,7.0,8.0,12.3
ZCTA5 05262,2251,143,214,306,6.4,9.5,13.6
ZCTA5 05301,16200,1859,1350,1975,11.5,8.3,12.2
ZCTA5 05340,743,46,43,139,6.2,5.8,18.7
ZCTA5 05341,450,52,21,32,11.6,4.7,7.1
ZCTA5 05342,602,26,99,99,4.3,16.4,16.4
ZCTA5 05343,718,51,70,162,7.1,9.7,22.6
ZCTA5 05345,2165,224,161,294,10.3,7.4,13.6
ZCTA5 05346,5030,487,386,802,9.7,7.7,15.9
ZCTA5 05350,609,45,59,64,7.4,9.7,10.5
ZCTA5 05352,982,78,105,97,7.9,10.7,9.9
ZCTA5 05353,833,39,96,96,4.7,11.5,11.5
ZCTA5 05354,2339,251,169,360,10.7,7.2,15.4
ZCTA5 05355,709,50,78,110,7.1,11.0,15.5
ZCTA5 05356,577,35,30,111,6.1,5.2,19.2
ZCTA5 05358,131,20,23,5,15.3,17.6,3.8
ZCTA5 05359,574,68,53,89,11.8,9.2,15.5
ZCTA5 05360,172,16,11,9,9.3,6.4,5.2
ZCTA5 05361,1125,105,113,155,9.3,10.0,13.8
ZCTA5 05362,80,0,17,14,0.0,21.2,17.5
ZCTA5 05363,1958,274,169,241,14.0,8.6,12.3
ZCTA5 05401,28909,5511,1142,2179,19.1,4.0,7.5
ZCTA5 05403,18761,2934,1407,2618,15.6,7.5,14.0
ZCTA5 05404,7242,1613,336,692,22.3,4.6,9.6
ZCTA5 05405,4391,0,0,0,0.0,0.0,0.0
ZCTA5 05408,9604,1266,660,1202,13.2,6.9,12.5
ZCTA5 05439,1455,1,0,0,0.1,0.0,0.0
ZCTA5 05440,1754,134,143,294,7.6,8.2,16.8
ZCTA5 05441,812,91,97,135,11.2,11.9,16.6
ZCTA5 05442,414,60,31,75,14.5,7.5,18.1
ZCTA5 05443,6744,672,487,887,10.0,7.2,13.2
ZCTA5 05444,1678,234,136,252,13.9,8.1,15.0
ZCTA5 05445,3820,294,368,580,7.7,9.6,15.2
ZCTA5 05446,15868,1896,1275,2655,11.9,8.0,16.7
ZCTA5 05447,88,13,5,8,14.8,5.7,9.1
ZCTA5 05448,851,77,66,133,9.0,7.8,15.6
ZCTA5 05450,5237,529,339,748,10.1,6.5,14.3
ZCTA5 05452,21574,2839,1573,3188,13.2,7.3,14.8
ZCTA5 05454,5076,809,519,541,15.9,10.2,10.7
ZCTA5 05455,1113,76,125,176,6.8,11.2,15.8
ZCTA5 05456,1174,98,89,252,8.3,7.6,21.5
ZCTA5 05457,1590,145,128,240,9.1,8.1,15.1
ZCTA5 05458,2172,275,174,357,12.7,8.0,16.4
ZCTA5 05459,2133,262,246,189,12.3,11.5,8.9
ZCTA5 05461,4672,678,451,692,14.5,9.7,14.8
ZCTA5 05462,1966,228,221,334,11.6,11.2,17.0
ZCTA5 05463,421,59,62,8,14.0,14.7,1.9
ZCTA5 05464,3330,509,163,364,15.3,4.9,10.9
ZCTA5 05465,5368,683,528,788,12.7,9.8,14.7
ZCTA5 05468,13786,2005,1060,2173,14.5,7.7,15.8
ZCTA5 05471,559,24,30,98,4.3,5.4,17.5
ZCTA5 05472,1794,218,207,269,12.2,11.5,15.0
ZCTA5 05473,1451,131,172,240,9.0,11.9,16.5
ZCTA5 05474,946,94,70,99,9.9,7.4,10.5
ZCTA5 05476,3384,512,270,492,15.1,8.0,14.5
ZCTA5 05477,4476,559,474,740,12.5,10.6,16.5
ZCTA5 05478,14845,1953,1001,2144,13.2,6.7,14.4
ZCTA5 05481,0,0,0,0,,,
ZCTA5 05482,7777,548,576,1130,7.0,7.4,14.5
ZCTA5 05483,1512,173,109,266,11.4,7.2,17.6
ZCTA5 05485,96,20,0,0,20.8,0.0,0.0
ZCTA5 05486,1717,177,160,288,10.3,9.3,16.8
ZCTA5 05487,1668,227,122,204,13.6,7.3,12.2
ZCTA5 05488,7752,832,531,1214,10.7,6.8,15.7
ZCTA5 05489,3361,234,337,559,7.0,10.0,16.6
ZCTA5 05491,5750,599,444,913,10.4,7.7,15.9
ZCTA5 05492,661,43,51,108,6.5,7.7,16.3
ZCTA5 05494,1921,226,172,275,11.8,9.0,14.3
ZCTA5 05495,10262,1675,815,1213,16.3,7.9,11.8
ZCTA5 05602,11758,1392,699,1851,11.8,5.9,15.7
ZCTA5 05640,155,0,13,20,0.0,8.4,12.9
ZCTA5 05641,16542,1752,1720,2209,10.6,10.4,13.4
ZCTA5 05647,1053,66,96,125,6.3,9.1,11.9
ZCTA5 05648,472,17,53,38,3.6,11.2,8.1
ZCTA5 05649,359,5,48,90,1.4,13.4,25.1
ZCTA5 05650,1248,80,103,202,6.4,8.3,16.2
ZCTA5 05651,1418,156,131,179,11.0,9.2,12.6
ZCTA5 05652,718,97,54,114,13.5,7.5,15.9
ZCTA5 05653,601,71,13,132,11.8,2.2,22.0
ZCTA5 05654,1042,185,88,132,17.8,8.4,12.7
ZCTA5 05655,2940,269,161,390,9.1,5.5,13.3
ZCTA5 05656,3606,432,294,430,12.0,8.2,11.9
ZCTA5 05657,60,0,11,8,0.0,18.3,13.3
ZCTA5 05658,1459,171,146,175,11.7,10.0,12.0
ZCTA5 05660,1743,141,143,261,8.1,8.2,15.0
ZCTA5 05661,5826,1028,388,884,17.6,6.7,15.2
ZCTA5 05663,6562,760,329,813,11.6,5.0,12.4
ZCTA5 05664,188,0,0,36,0.0,0.0,19.1
ZCTA5 05667,2133,236,188,299,11.1,8.8,14.0
ZCTA5 05669,652,57,55,100,8.7,8.4,15.3
ZCTA5 05672,4426,388,282,381,8.8,6.4,8.6
ZCTA5 05673,2419,225,208,322,9.3,8.6,13.3
ZCTA5 05674,1649,147,111,185,8.9,6.7,11.2
ZCTA5 05675,1112,158,151,162,14.2,13.6,14.6
ZCTA5 05676,4572,656,283,657,14.3,6.2,14.4
ZCTA5 05677,2533,452,218,415,17.8,8.6,16.4
ZCTA5 05678,239,62,28,7,25.9,11.7,2.9
ZCTA5 05679,3347,359,437,358,10.7,13.1,10.7
ZCTA5 05680,2233,275,203,422,12.3,9.1,18.9
ZCTA5 05681,370,13,40,63,3.5,10.8,17.0
ZCTA5 05682,1302,113,78,200,8.7,6.0,15.4
ZCTA5 05701,19984,2399,1665,2564,12.0,8.3,12.8
ZCTA5 05730,344,9,23,51,2.6,6.7,14.8
ZCTA5 05732,625,64,101,73,10.2,16.2,11.7
ZCTA5 05733,5762,446,534,905,7.7,9.3,15.7
ZCTA5 05734,1321,145,128,220,11.0,9.7,16.7
ZCTA5 05735,4392,193,327,532,4.4,7.4,12.1
ZCTA5 05736,543,68,85,56,12.5,15.7,10.3
ZCTA5 05737,1021,107,61,154,10.5,6.0,15.1
ZCTA5 05738,1171,104,106,150,8.9,9.1,12.8
ZCTA5 05739,1390,79,83,154,5.7,6.0,11.1
ZCTA5 05740,27,0,0,0,0.0,0.0,0.0
ZCTA5 05742,616,48,102,99,7.8,16.6,16.1
ZCTA5 05743,3837,526,253,538,13.7,6.6,14.0
ZCTA5 05744,657,25,36,86,3.8,5.5,13.1
ZCTA5 05747,308,54,20,46,17.5,6.5,14.9
ZCTA5 05748,337,38,13,50,11.3,3.9,14.8
ZCTA5 05751,675,67,62,106,9.9,9.2,15.7
ZCTA5 05753,10535,880,526,1015,8.4,5.0,9.6
ZCTA5 05757,858,51,98,119,5.9,11.4,13.9
ZCTA5 05758,630,52,67,56,8.3,10.6,8.9
ZCTA5 05759,1565,235,136,181,15.0,8.7,11.6
ZCTA5 05760,1088,94,114,159,8.6,10.5,14.6
ZCTA5 05761,904,109,104,124,12.1,11.5,13.7
ZCTA5 05762,351,61,21,51,17.4,6.0,14.5
ZCTA5 05763,2574,351,186,397,13.6,7.2,15.4
ZCTA5 05764,3281,290,269,420,8.8,8.2,12.8
ZCTA5 05765,1713,156,131,265,9.1,7.6,15.5
ZCTA5 05766,524,39,44,76,7.4,8.4,14.5
ZCTA5 05767,1065,66,103,159,6.2,9.7,14.9
ZCTA5 05769,1192,139,123,158,11.7,10.3,13.3
ZCTA5 05770,1001,144,64,167,14.4,6.4,16.7
ZCTA5 05772,640,87,58,106,13.6,9.1,16.6
ZCTA5 05773,2262,213,178,410,9.4,7.9,18.1
ZCTA5 05774,1016,125,73,117,12.3,7.2,11.5
ZCTA5 05775,489,58,69,42,11.9,14.1,8.6
ZCTA5 05776,645,51,57,123,7.9,8.8,19.1
ZCTA5 05777,3414,461,221,573,13.5,6.5,16.8
ZCTA5 05778,664,98,53,107,14.8,8.0,16.1
ZCTA5 05819,9144,915,646,1448,10.0,7.1,15.8
ZCTA5 05820,498,57,37,86,11.4,7.4,17.3
ZCTA5 05821,1128,95,78,110,8.4,6.9,9.8
ZCTA5 05822,1516,59,90,269,3.9,5.9,17.7
ZCTA5 05824,1156,100,115,182,8.7,9.9,15.7
ZCTA5 05825,68,2,11,12,2.9,16.2,17.6
ZCTA5 05826,895,86,53,62,9.6,5.9,6.9
ZCTA5 05827,319,26,15,34,8.2,4.7,10.7
ZCTA5 05828,1995,161,232,262,8.1,11.6,13.1
ZCTA5 05829,1613,92,84,281,5.7,5.2,17.4
ZCTA5 05830,1355,201,80,197,14.8,5.9,14.5
ZCTA5 05832,902,45,42,163,5.0,4.7,18.1
ZCTA5 05833,251,16,2,16,6.4,0.8,6.4
ZCTA5 05836,1173,111,148,83,9.5,12.6,7.1
ZCTA5 05837,281,46,12,49,16.4,4.3,17.4
ZCTA5 05839,735,25,66,116,3.4,9.0,15.8
ZCTA5 05841,364,24,25,36,6.6,6.9,9.9
ZCTA5 05842,571,72,42,65,12.6,7.4,11.4
ZCTA5 05843,2462,311,230,417,12.6,9.3,16.9
ZCTA5 05845,1413,133,98,130,9.4,6.9,9.2
ZCTA5 05846,1206,110,81,189,9.1,6.7,15.7
ZCTA5 05847,787,154,94,112,19.6,11.9,14.2
ZCTA5 05850,267,80,0,64,30.0,0.0,24.0
ZCTA5 05851,6329,707,344,595,11.2,5.4,9.4
ZCTA5 05853,482,32,35,66,6.6,7.3,13.7
ZCTA5 05855,7046,961,497,1017,13.6,7.1,14.4
ZCTA5 05857,2530,281,216,306,11.1,8.5,12.1
ZCTA5 05858,442,14,22,97,3.2,5.0,21.9
ZCTA5 05859,1752,229,123,159,13.1,7.0,9.1
ZCTA5 05860,2803,332,168,388,11.8,6.0,13.8
ZCTA5 05862,307,25,37,21,8.1,12.1,6.8
ZCTA5 05866,630,58,45,144,9.2,7.1,22.9
ZCTA5 05867,935,147,51,95,15.7,5.5,10.2
ZCTA5 05868,303,42,21,46,13.9,6.9,15.2
ZCTA5 05871,1464,157,142,154,10.7,9.7,10.5
ZCTA5 05872,848,138,70,61,16.3,8.3,7.2
ZCTA5 05873,606,46,50,132,7.6,8.3,21.8
ZCTA5 05874,604,51,26,98,8.4,4.3,16.2
ZCTA5 05875,359,30,14,38,8.4,3.9,10.6
ZCTA5 05901,10,0,0,0,0.0,0.0,0.0
ZCTA5 05902,193,12,44,9,6.2,22.8,4.7
ZCTA5 05903,784,30,64,147,3.8,8.2,18.8
ZCTA5 05904,249,33,33,22,13.3,13.3,8.8
ZCTA5 05905,736,28,78,98,3.8,10.6,13.3
ZCTA5 05906,1402,190,71,142,13.6,5.1,10.1
ZCTA5 05907,127,4,25,23,3.1,19.7,18.1
ZCTA5 20105,25168,2745,1424,2893,10.9,5.7,11.5
ZCTA5 20106,5087,444,380,937,8.7,7.5,18.4
ZCTA5 20109,43093,8708,2260,4604,20.2,5.2,10.7
ZCTA5 20110,47574,7139,2877,6539,15.0,6.0,13.7
ZCTA5 20111,36375,5520,2001,5349,15.2,5.5,14.7
ZCTA5 20112,26648,2749,2410,4594,10.3,9.0,17.2
ZCTA5 20115,7142,895,442,1178,12.5,6.2,16.5
ZCTA5 20117,2295,179,160,427,7.8,7.0,18.6
ZCTA5 20118,7,0,0,0,0.0,0.0,0.0
ZCTA5 20119,3850,609,462,449,15.8,12.0,11.7
ZCTA5 20120,41312,5235,2938,6112,12.7,7.1,14.8
ZCTA5 20121,29426,4861,1993,4852,16.5,6.8,16.5
ZCTA5 20124,15114,1094,1434,2601,7.2,9.5,17.2
ZCTA5 20129,522,15,107,76,2.9,20.5,14.6
ZCTA5 20130,236,66,39,7,28.0,16.5,3.0
ZCTA5 20132,18053,1485,1347,3215,8.2,7.5,17.8
ZCTA5 20135,3187,355,257,507,11.1,8.1,15.9
ZCTA5 20136,29875,2712,1549,5745,9.1,5.2,19.2
ZCTA5 20137,1527,164,181,309,10.7,11.9,20.2
ZCTA5 20139,245,60,17,20,24.5,6.9,8.2
ZCTA5 20141,7853,601,511,1252,7.7,6.5,15.9
ZCTA5 20143,827,102,62,120,12.3,7.5,14.5
ZCTA5 20144,1086,91,153,126,8.4,14.1,11.6
ZCTA5 20147,63878,8423,4115,10198,13.2,6.4,16.0
ZCTA5 20148,51243,5802,1698,8161,11.3,3.3,15.9
ZCTA5 20151,23068,2678,1860,3860,11.6,8.1,16.7
ZCTA5 20152,35302,3769,1839,5989,10.7,5.2,17.0
ZCTA5 20155,36642,4002,1835,5604,10.9,5.0,15.3
ZCTA5 20158,4610,204,285,647,4.4,6.2,14.0
ZCTA5 20164,41684,6901,2495,5447,16.6,6.0,13.1
ZCTA5 20165,31912,3665,2282,5579,11.5,7.2,17.5
ZCTA5 20166,12236,2328,561,1676,19.0,4.6,13.7
ZCTA5 20169,25619,2064,1443,4326,8.1,5.6,16.9
ZCTA5 20170,42690,6334,3134,6032,14.8,7.3,14.1
ZCTA5 20171,51093,7451,3491,7855,14.6,6.8,15.4
ZCTA5 20175,34857,4135,2627,5845,11.9,7.5,16.8
ZCTA5 20176,52862,6058,2941,8941,11.5,5.6,16.9
ZCTA5 20180,7705,661,522,1419,8.6,6.8,18.4
ZCTA5 20181,9350,829,767,1508,8.9,8.2,16.1
ZCTA5 20184,496,0,91,102,0.0,18.3,20.6
ZCTA5 20186,14839,1276,1169,2213,8.6,7.9,14.9
ZCTA5 20187,18738,1558,1429,2982,8.3,7.6,15.9
ZCTA5 20190,19950,3425,1303,2634,17.2,6.5,13.2
ZCTA5 20191,30181,4339,2049,4077,14.4,6.8,13.5
ZCTA5 20194,12467,1689,1156,1812,13.5,9.3,14.5
ZCTA5 20197,2467,135,200,403,5.5,8.1,16.3
ZCTA5 20198,1905,236,94,384,12.4,4.9,20.2
ZCTA5 22003,59375,7857,4169,7322,13.2,7.0,12.3
ZCTA5 22015,44523,4474,3381,6473,10.0,7.6,14.5
ZCTA5 22025,18909,1978,1438,2579,10.5,7.6,13.6
ZCTA5 22026,16465,1759,920,2186,10.7,5.6,13.3
ZCTA5 22027,2003,36,206,284,1.8,10.3,14.2
ZCTA5 22030,59332,8855,3571,7393,14.9,6.0,12.5
ZCTA5 22031,33379,6179,1712,4868,18.5,5.1,14.6
ZCTA5 22032,31201,2926,2018,4883,9.4,6.5,15.7
ZCTA5 22033,39478,6422,2293,6061,16.3,5.8,15.4
ZCTA5 22035,0,0,0,0,,,
ZCTA5 22039,17598,886,1611,2728,5.0,9.2,15.5
ZCTA5 22041,28429,4853,1505,3613,17.1,5.3,12.7
ZCTA5 22042,35174,6085,1976,4923,17.3,5.6,14.0
ZCTA5 22043,24806,4348,1239,3425,17.5,5.0,13.8
ZCTA5 22044,13616,2143,812,1873,15.7,6.0,13.8
ZCTA5 22046,18698,1977,1206,2861,10.6,6.4,15.3
ZCTA5 22060,9489,1520,114,728,16.0,1.2,7.7
ZCTA5 22066,17767,1143,1542,3079,6.4,8.7,17.3
ZCTA5 22079,36559,4724,2480,5615,12.9,6.8,15.4
ZCTA5 22101,29892,1710,2107,4779,5.7,7.0,16.0
ZCTA5 22102,25627,4488,1578,3477,17.5,6.2,13.6
ZCTA5 22124,18530,1580,1437,2890,8.5,7.8,15.6
ZCTA5 22125,955,220,125,152,23.0,13.1,15.9
ZCTA5 22134,7537,1782,79,199,23.6,1.0,2.6
ZCTA5 22150,28905,4057,1998,3371,14.0,6.9,11.7
ZCTA5 22151,17917,2139,1193,2529,11.9,6.7,14.1
ZCTA5 22152,30624,3445,2010,4755,11.2,6.6,15.5
ZCTA5 22153,31196,3540,2230,4460,11.3,7.1,14.3
ZCTA5 22172,9934,1809,658,1213,18.2,6.6,12.2
ZCTA5 22180,24366,3093,1808,3766,12.7,7.4,15.5
ZCTA5 22181,15350,1034,1080,2563,6.7,7.0,16.7
ZCTA5 22182,26124,2240,1892,3942,8.6,7.2,15.1
ZCTA5 22185,0,0,0,0,,,
ZCTA5 22191,71019,10657,4289,9585,15.0,6.0,13.5
ZCTA5 22192,58690,8717,3856,8214,14.9,6.6,14.0
ZCTA5 22193,82309,11420,5286,12325,13.9,6.4,15.0
ZCTA5 22201,38541,14349,1819,3982,37.2,4.7,10.3
ZCTA5 22202,25409,8090,1333,2920,31.8,5.2,11.5
ZCTA5 22203,24309,6919,1146,2714,28.5,4.7,11.2
ZCTA5 22204,54617,12400,2736,7145,22.7,5.0,13.1
ZCTA5 22205,18982,1965,1205,2992,10.4,6.3,15.8
ZCTA5 22206,20508,5716,897,2632,27.9,4.4,12.8
ZCTA5 22207,33170,3062,2716,5110,9.2,8.2,15.4
ZCTA5 22209,13227,4448,580,1388,33.6,4.4,10.5
ZCTA5 22211,1353,180,22,16,13.3,1.6,1.2
ZCTA5 22213,3713,567,243,528,15.3,6.5,14.2
ZCTA5 22214,0,0,0,0,,,
ZCTA5 22301,13377,2607,802,2223,19.5,6.0,16.6
ZCTA5 22302,17566,3759,1067,2613,21.4,6.1,14.9
ZCTA5 22303,14558,3741,581,1658,25.7,4.0,11.4
ZCTA5 22304,48510,10318,2877,6375,21.3,5.9,13.1
ZCTA5 22305,18579,4244,886,2423,22.8,4.8,13.0
ZCTA5 22306,35425,5234,1821,4585,14.8,5.1,12.9
ZCTA5 22307,9902,1103,716,1503,11.1,7.2,15.2
ZCTA5 22308,13610,686,902,2443,5.0,6.6,18.0
ZCTA5 22309,37464,5031,2263,5477,13.4,6.0,14.6
ZCTA5 22310,32380,4620,2292,4565,14.3,7.1,14.1
ZCTA5 22311,19002,4227,711,1798,22.2,3.7,9.5
ZCTA5 22312,32566,5658,2218,4463,17.4,6.8,13.7
ZCTA5 22314,34378,8370,2275,4877,24.3,6.6,14.2
ZCTA5 22315,29470,4884,2326,4691,16.6,7.9,15.9
ZCTA5 22401,28622,5146,1537,3008,18.0,5.4,10.5
ZCTA5 22405,31747,3657,2224,4451,11.5,7.0,14.0
ZCTA5 22406,26256,3072,1573,3964,11.7,6.0,15.1
ZCTA5 22407,58826,7539,4186,8139,12.8,7.1,13.8
ZCTA5 22408,30285,4080,2113,4183,13.5,7.0,13.8
ZCTA5 22427,5349,774,250,453,14.5,4.7,8.5
ZCTA5 22432,241,0,9,121,0.0,3.7,50.2
ZCTA5 22433,427,54,35,38,12.6,8.2,8.9
ZCTA5 22435,2471,297,94,308,12.0,3.8,12.5
ZCTA5 22436,736,57,73,111,7.7,9.9,15.1
ZCTA5 22437,888,51,85,50,5.7,9.6,5.6
ZCTA5 22438,358,0,28,64,0.0,7.8,17.9
ZCTA5 22443,8872,753,487,1013,8.5,5.5,11.4
ZCTA5 22448,646,163,10,55,25.2,1.5,8.5
ZCTA5 22454,1746,162,160,231,9.3,9.2,13.2
ZCTA5 22460,1344,21,72,231,1.6,5.4,17.2
ZCTA5 22469,1738,98,136,242,5.6,7.8,13.9
ZCTA5 22473,5061,392,311,624,7.7,6.1,12.3
ZCTA5 22476,238,15,23,52,6.3,9.7,21.8
ZCTA5 22480,647,11,53,27,1.7,8.2,4.2
ZCTA5 22482,3173,221,231,346,7.0,7.3,10.9
ZCTA5 22485,25606,3023,1730,3790,11.8,6.8,14.8
ZCTA5 22488,860,40,68,141,4.7,7.9,16.4
ZCTA5 22503,3208,190,331,301,5.9,10.3,9.4
ZCTA5 22504,384,0,72,17,0.0,18.8,4.4
ZCTA5 22508,14750,1259,776,2207,8.5,5.3,15.0
ZCTA5 22509,102,0,15,0,0.0,14.7,0.0
ZCTA5 22511,871,79,52,142,9.1,6.0,16.3
ZCTA5 22514,2195,182,201,304,8.3,9.2,13.8
ZCTA5 22520,5636,865,270,756,15.3,4.8,13.4
ZCTA5 22529,154,0,16,42,0.0,10.4,27.3
ZCTA5 22530,168,24,0,29,14.3,0.0,17.3
ZCTA5 22534,3228,322,235,398,10.0,7.3,12.3
ZCTA5 22535,554,105,56,26,19.0,10.1,4.7
ZCTA5 22538,121,0,21,36,0.0,17.4,29.8
ZCTA5 22539,2234,90,78,164,4.0,3.5,7.3
ZCTA5 22542,1761,317,39,288,18.0,2.2,16.4
ZCTA5 22546,16334,1604,1085,2468,9.8,6.6,15.1
ZCTA5 22548,511,79,0,0,15.5,0.0,0.0
ZCTA5 22551,19571,2327,1631,3346,11.9,8.3,17.1
ZCTA5 22553,15761,1718,1021,2594,10.9,6.5,16.5
ZCTA5 22554,57447,8602,4029,9042,15.0,7.0,15.7
ZCTA5 22556,29386,3806,2192,4723,13.0,7.5,16.1
ZCTA5 22560,6435,695,450,861,10.8,7.0,13.4
ZCTA5 22567,3552,516,281,338,14.5,7.9,9.5
ZCTA5 22572,7227,1216,565,1128,16.8,7.8,15.6
ZCTA5 22576,2513,188,124,356,7.5,4.9,14.2
ZCTA5 22578,2526,287,255,218,11.4,10.1,8.6
ZCTA5 22579,71,0,9,17,0.0,12.7,23.9
ZCTA5 22580,5074,678,394,646,13.4,7.8,12.7
ZCTA5 22601,28925,4002,1689,4037,13.8,5.8,14.0
ZCTA5 22602,29616,3554,2414,4127,12.0,8.2,13.9
ZCTA5 22603,16030,2150,1220,2321,13.4,7.6,14.5
ZCTA5 22610,1735,153,117,279,8.8,6.7,16.1
ZCTA5 22611,8954,676,786,1393,7.5,8.8,15.6
ZCTA5 22620,2653,351,242,391,13.2,9.1,14.7
ZCTA5 22623,966,92,69,133,9.5,7.1,13.8
ZCTA5 22624,2816,272,223,493,9.7,7.9,17.5
ZCTA5 22625,3469,274,178,682,7.9,5.1,19.7
ZCTA5 22627,704,93,32,66,13.2,4.5,9.4
ZCTA5 22630,32321,4048,2458,4876,12.5,7.6,15.1
ZCTA5 22637,2443,171,157,329,7.0,6.4,13.5
ZCTA5 22639,544,0,0,93,0.0,0.0,17.1
ZCTA5 22640,459,89,66,55,19.4,14.4,12.0
ZCTA5 22641,359,0,79,78,0.0,22.0,21.7
ZCTA5 22642,5022,598,514,831,11.9,10.2,16.5
ZCTA5 22643,289,8,51,20,2.8,17.6,6.9
ZCTA5 22644,2376,310,278,393,13.0,11.7,16.5
ZCTA5 22645,4279,496,292,712,11.6,6.8,16.6
ZCTA5 22646,83,0,0,8,0.0,0.0,9.6
ZCTA5 22650,499,44,37,85,8.8,7.4,17.0
ZCTA5 22652,1543,203,171,241,13.2,11.1,15.6
ZCTA5 22654,875,102,155,188,11.7,17.7,21.5
ZCTA5 22655,21982,2579,1411,3075,11.7,6.4,14.0
ZCTA5 22656,3527,515,227,378,14.6,6.4,10.7
ZCTA5 22657,10738,1401,679,1383,13.0,6.3,12.9
ZCTA5 22660,1943,246,128,323,12.7,6.6,16.6
ZCTA5 22663,1108,32,87,188,2.9,7.9,17.0
ZCTA5 22664,9457,790,552,1080,8.4,5.8,11.4
ZCTA5 22701,35495,4290,2211,4471,12.1,6.2,12.6
ZCTA5 22709,1414,264,71,156,18.7,5.0,11.0
ZCTA5 22711,26,0,0,0,0.0,0.0,0.0
ZCTA5 22712,9094,1588,666,1134,17.5,7.3,12.5
ZCTA5 22713,1721,152,131,171,8.8,7.6,9.9
ZCTA5 22714,1133,102,45,176,9.0,4.0,15.5
ZCTA5 22715,1230,207,34,151,16.8,2.8,12.3
ZCTA5 22716,507,56,49,63,11.0,9.7,12.4
ZCTA5 22718,528,25,34,89,4.7,6.4,16.9
ZCTA5 22719,255,0,28,0,0.0,11.0,0.0
ZCTA5 22720,1030,57,102,136,5.5,9.9,13.2
